"u1","AFL_given_AIG_0%","AFL_given_AIG_10%","AFL_given_AIG_20%","AFL_given_AIG_30%","AFL_given_AIG_40%","AFL_given_AIG_50%","AFL_given_AIG_60%","AFL_given_AIG_70%","AFL_given_AIG_80%","AFL_given_AIG_90%","AFL_given_AIG_100%"
0,0.000208081417204428,0.00238834921450737,0.00411139459717122,0.00526035643602992,0.00603616424370195,0.00670866954970951,0.00738023605397594,0.00812575379209581,0.008712532525776,0.00930727872020411,0.00999843168788046
0.0101010101010101,0.000320603612446245,0.00427246798836436,0.00765450611684384,0.00998197919239693,0.0115796430810783,0.0129795956749616,0.0143903497572745,0.0159702718476234,0.0172233470055839,0.0185015280009578,0.0199965960614032
0.0202020202020202,0.000410287882089381,0.00598214443942439,0.010983290849743,0.0144921849200184,0.0169254079891753,0.0190718025007367,0.021246972327311,0.0236963005223782,0.0256481911958375,0.0276470762083174,0.0299946438804361
0.0303030303030303,0.00048738188710398,0.00758301952682344,0.0141738906148759,0.0188639054354387,0.0221404839670156,0.0250450370928324,0.0280007531037645,0.0313424123173273,0.0340147698352498,0.0367594645298641,0.0399926119358212
0.0404040404040404,0.000556121922627219,0.00910535230748884,0.0172624072106663,0.0231321801230559,0.0272573141920266,0.0309283876795002,0.0346764811262717,0.0389275865984553,0.042336767926814,0.0458463980607489,0.0499905185413249
0.0505050505050505,0.00061877009319217,0.010566570769649,0.0202700519379167,0.0273177902440372,0.0322952429890578,0.0367392700266157,0.0412890540812793,0.04646327322389,0.0506224643605596,0.0549125504362906,0.0599883748374902
0.0606060606060606,0.000676709810267367,0.0119779815099431,0.0232108037169555,0.0314345334507592,0.0372671683451114,0.0424893343894865,0.0478484675775253,0.0539571778437288,0.0588774431008854,0.0639610805869503,0.0699861883715576
0.0707070707070707,0.000730862937269388,0.0133474953664087,0.0260945718329562,0.0354922513585004,0.0421823226904382,0.0481869429647606,0.0543619141094201,0.0614148592864246,0.0671057398729291,0.0729942756129523,0.0799839646183287
0.0808080808080808,0.000781881547836641,0.0146809460944583,0.0289287464096199,0.0394983229423234,0.0470476493573417,0.0538383995184603,0.0608348273868286,0.0688405263071254,0.0753104151431196,0.0820138725693712,0.0899817077428411
0.0909090909090909,0.000830247656387165,0.0159828061094026,0.0317190493583666,0.0434584884371219,0.0518685642058902,0.0594486313193324,0.0672714627051529,0.0762374812985065,0.083493873700739,0.0910212382030869,0.0999794210270407
0.101010101010101,0.000876329867050229,0.0172566083031451,0.0344700407333238,0.0473773418205396,0.0566494120509202,0.0650215986195423,0.0736752460693264,0.0836083876954015,0.0916580575118263,0.100017477553581,0.109977107127942
0.111111111111111,0.000920417764054355,0.0185052105812285,0.0371854390096289,0.0512586435708516,0.0613937571828719,0.0705605557537198,0.0800489971645378,0.0909554410328012,0.0998045692333839,0.109003503585097,0.119974768243355
0.121212121212121,0.000962743906432041,0.019730970051928,0.039868333604163,0.0551055289502825,0.0661045772398718,0.0760682256545509,0.0863950786030658,0.0982804836127943,0.107934755098356,0.11798008396121,0.129972406223336
0.131313131313131,0.0010034984988214,0.0209358623251184,0.0425213314498452,0.0589206521317603,0.0707843976137954,0.0815469210152985,0.092715499680155,0.105585084327532,0.116049762670576,0.126947873667979,0.139970022647994
0.141414141414141,0.00104283952223965,0.0221215659118396,0.0451466613611246,0.0627062891338329,0.0754353876083413,0.0869986310890038,0.099011990793782,0.11287059598364,0.124150582358467,0.135907438483205,0.149967618883524
0.151515151515152,0.00108089993633979,0.0232895235825796,0.0477462503610162,0.0664644133136791,0.0800594310747119,0.0924250855284407,0.105286058241451,0.120138197559744,0.132238078043006,0.144859272305304,0.159965196123604
0.161616161616162,0.00111779292822611,0.024440988021928,0.0503217807897971,0.0701967520002646,0.0846581794800085,0.0978278024044278,0.11153902547997,0.127388926058719,0.14031301018201,0.153803810235092,0.169962755420687
0.171717171717172,0.0011536158203349,0.025577056485579,0.0528747338830356,0.0739048298159895,0.0892330925588352,0.103208125028897,0.11777206479698,0.13462370098244,0.148376053576083,0.162741438641942,0.179960297710082
0.181818181818182,0.00118845303470205,0.0266986975720254,0.0554064235997537,0.0775900023838584,0.0937854699846997,0.108567250672859,0.123986222034294,0.141843343455267,0.156427811259703,0.171672503039635,0.18995782382882
0.191919191919192,0.0012223783786446,0.0278067722229662,0.0579180232811022,0.081253482949061,0.0983164764149526,0.113906253297816,0.130182436174648,0.149048591387947,0.164468825523298,0.180597314339427,0.199955334530639
0.202020202020202,0.00125545683301629,0.0289020504223296,0.0604105869418256,0.0848963636850389,0.102827161558729,0.119226101786649,0.136361555063669,0.156240111659779,0.172499586773492,0.189516153879624,0.209952830498043
0.212121212121212,0.00128774596957639,0.0299852246373136,0.0628850664793231,0.0885196329484238,0.107318476447475,0.124527674737635,0.142524348178098,0.163418510020072,0.180520540738812,0.198429277518247,0.219950312352121
0.222222222222222,0.00131929708757854,0.0310569207558608,0.0653423257330494,0.0921241894025253,0.111791286766974,0.129811772596731,0.148671517104733,0.170584339220592,0.188532094391341,0.207336918998184,0.229947780660632
0.232323232323232,0.00135015613486124,0.0321177070751312,0.0677831520825486,0.095710853689257,0.116246383886522,0.135079127702244,0.15480370422254,0.177738105758521,0.196534620859256,0.216239292740311,0.239945235944706
0.242424242424242,0.00138036446147841,0.0331681017547408,0.0702082660995732,0.0992803781595468,0.12068449406254,0.140330412673315,0.160921499958299,0.184880275515541,0.204528463537267,0.225136596181717,0.249942678684471
0.252525252525253,0.00140995944172345,0.0342085790476879,0.0726183296454821,0.102833455049965,0.125106286179848,0.145566247470751,0.167025448897988,0.192011278510818,0.212513939552889,0.234029011748421,0.259940109323793
0.262626262626263,0.00143897499165159,0.0352395745485469,0.0750139527144446,0.106370723403923,0.129512378310312,0.150787205383406,0.173116054971518,0.199131512935974,0.220491342710468,0.242916708531635,0.269937528274312
0.272727272727273,0.00146744200283496,0.0362614896444394,0.077395699255908,0.109892774969555,0.133903343306666,0.155993818137417,0.179193785880542,0.20624134860314,0.228460946008149,0.251799843721498,0.279934935918889
0.282828282828283,0.00149538870838374,0.0372746953139135,0.0797640921595447,0.113400159256726,0.138279713602886,0.16118658028358,0.185259076902954,0.213341129909439,0.23642300380281,0.260678563840796,0.289932332614581
0.292929292929293,0.00152284099375553,0.038279535388363,0.0821196175478286,0.116893387897907,0.14264198535712,0.16636595298628,0.191312334180352,0.220431178400099,0.244377753682677,0.269553005812545,0.299929718695208
0.303030303030303,0.00154982266222392,0.039276329367328,0.0844627284922377,0.120372938428737,0.146990622046163,0.171532367312834,0.197353937573627,0.227511794996119,0.252325418095553,0.278423297888612,0.309927094473598
0.313131313131313,0.00157635566285345,0.0402653748610558,0.0867938482465325,0.123839257581718,0.151326057599424,0.176686227103127,0.203384243155557,0.234583261939838,0.260266205771411,0.28728956046137,0.319924460243538
0.323232323232323,0.00160246028726978,0.0412469497197275,0.0891133730729681,0.127292764168984,0.155648699143933,0.181827911484552,0.20940358539645,0.241645844501822,0.268200312970974,0.296151906776336,0.329921816281498
0.333333333333333,0.0016281553403019,0.0422213138977743,0.0914216747234418,0.130733851616306,0.159958929418983,0.186957777085512,0.215412279088803,0.248699792484727,0.276127924586187,0.305010443560493,0.339919162848141
0.343434343434343,0.00165345828862385,0.0431887110930294,0.0937191026265948,0.13416289019952,0.164257108908721,0.192076159991432,0.22141062104892,0.255745341553554,0.284049215114012,0.313865271578497,0.349916500189673
